Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Sordariales_gen_Incertae_sedis;OTU402,8381.12,8.677787589654661e-4,0.002959224092833877,Ext,3.9635354736424893e-4,0.012322340622357908,7.927070947284979e-4,0.0053177985375406,OTU,Ext
Nectriaceae_gen_Incertae_sedis;OTU404,230.39,8.677787588813131e-4,0.002959224092833877,Ext,0.08908630276386147,0.4635961193454392,0.04024312845456052,0.1187184753493562,OTU,Ext
Hypocreales_gen_Incertae_sedis;OTU407,-466.46,0.015628499769666394,0.041795015676921565,Ext,0.016634191250610633,0.006461345122860963,0.00577258231718754,0.005447087857137673,OTU,Ext
Fusarium;OTU409,-985.86,8.6777875880208e-4,0.002959224092833877,Ext,0.13706682060912412,0.026602990567568405,0.049760147048294553,0.01226983155070628,OTU,Ext
Hypocreales_gen_Incertae_sedis;OTU412,-30.32,0.01563009647225897,0.041795015676921565,Ext,0.22232877162709097,0.0640283220316736,0.11605525672692772,0.045230433784884776,OTU,Ext
Hypocreales_gen_Incertae_sedis;OTU413,187797.09,8.677787646427968e-4,0.002959224092833877,Ext,1.9927464030927423e-4,0.007517986685336347,3.9854928061854847e-4,0.00459395254367,OTU,Ext
Dactylonectria;OTU422,-419.46,8.677787589447492e-4,0.002959224092833877,Ext,0.2728917015512262,0.04375415835686654,0.10135302243692154,0.03613213137416186,OTU,Ext
Glomus;OTU433,38880.06,8.67778763303552e-4,0.002959224092833877,Ext,0,0.03423491548309432,0,0.03580572171912598,OTU,Ext
Glomeraceae_gen_Incertae_sedis;OTU435,4239.55,8.677787588994068e-4,0.002959224092833877,Ext,1.9817677368212446e-4,0.03312904116152815,3.9635354736424893e-4,0.02578377844109718,OTU,Ext
Magnaporthaceae_gen_Incertae_sedis;OTU450,5308.41,8.677787592454435e-4,0.002959224092833877,Ext,0.010737451694767227,0.07443859098383977,0.011241190746670692,0.026136544217211382,OTU,Ext
Chalara;OTU451,4978.59,8.677787589154234e-4,0.002959224092833877,Ext,0.011797251062578097,0.04836887951102662,0.006022755297192462,0.014839084335974084,OTU,Ext
Myrmecridium;OTU462,9618.94,0.013623172360240954,0.03775920412689029,Ext,0,0.003587459755523304,0,0.003128750861442406,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU477,-1018.04,8.677787589053966e-4,0.002959224092833877,Ext,0.13274172441695778,0.044454467340590456,0.02965378705588595,0.02239568981200899,OTU,Ext
Pleotrichocladium;OTU487,-1632.48,8.677787588487198e-4,0.002959224092833877,Ext,0.1094963287557561,0.021827856343303087,0.04067292862547275,0.01768666566199119,OTU,Ext
Papiliotrema;OTU496,-6286.92,0.013623172407724326,0.03775920412689029,Ext,0.006912285531403774,0,0.006654061037333264,0,OTU,Ext
Pleosporales_gen_Incertae_sedis;OTU503,11351.19,8.677787588740413e-4,0.002959224092833877,Ext,0,0.012836842950086245,0,0.007134341157307607,OTU,Ext
Pyrenochaetopsis;OTU507,472.45,8.677787588221079e-4,0.002959224092833877,Ext,0.015735799326090878,0.15916223905272436,0.0029011662787048345,0.044815641052916654,OTU,Ext
Phialophora;OTU508,43373.95,8.677787601469021e-4,0.002959224092833877,Ext,0,0.014660499692899908,0,0.014645380319872822,OTU,Ext
Lipomyces;OTU512,-3220.34,0.013623172433037511,0.03775920412689029,Ext,0.005016884064257636,0,0.00337701434629445,0,OTU,Ext
Kockovaella;OTU513,186.56,0.014287628461431457,0.03906572286526529,Ext,2.296590940408058e-4,0.051533881129643515,4.593181880816116e-4,0.04628822516549166,OTU,Ext
Ramophialophora;OTU529,-502.83,8.677787589684085e-4,0.002959224092833877,Ext,0.2338044806987188,0.015940311223525634,0.07513286380611932,0.029202604035259525,OTU,Ext
Hypocreales_gen_Incertae_sedis;OTU532,5598.29,8.67778758889183e-4,0.002959224092833877,Ext,0,0.016112964951003048,0,0.005228487962724203,OTU,Ext
Kiflimonium;OTU533,-98.18,0.009154717231204909,0.028496991586366052,Ext,0.19260481098738264,0.04464669505013468,0.1580130733983042,0.019092963028091336,OTU,Ext
Hypocreales_gen_Incertae_sedis;OTU536,-490.84,0.01720462874242098,0.0456035355748888,Ext,0.09141027889267309,7.541478129713425e-4,0.16711634736520714,0.001508295625942685,OTU,Ext
Ceratobasidiaceae_gen_Incertae_sedis;OTU537,1572.8,8.677787588846212e-4,0.002959224092833877,Ext,3.974514139913987e-4,0.051349175592914395,4.5894086344687766e-4,0.02163081555133709,OTU,Ext
Pyronemataceae_gen_Incertae_sedis;OTU545,578.04,0.018323875147852,0.04773644727358869,Ext,0.0017958346089475552,0.019583156905034368,0.0017525452954113647,0.02480989537137825,OTU,Ext
Agaricomycetes_gen_Incertae_sedis;OTU552,-841.28,8.677787589065213e-4,0.002959224092833877,Ext,0.10500988239789208,0.0021172086720867207,0.04334395980945441,0.004234417344173441,OTU,Ext
Ceratobasidiaceae_gen_Incertae_sedis;OTU555,-4314.53,0.008296082710052955,0.0262277198177195,Ext,0.001470297881600505,2.5138260432378077e-4,4.633263676617862e-4,5.027652086475615e-4,OTU,Ext
Cheilymenia;OTU567,-13187.61,8.677787591449566e-4,0.002959224092833877,Ext,0.0180979661720726,7.541478129713425e-4,0.012845706853628878,0.001508295625942685,OTU,Ext
Lasiosphaeriaceae_gen_Incertae_sedis;OTU591,10036.35,8.677787596567422e-4,0.002959224092833877,Ext,0.0026952323105605322,0.03895992539208337,0.001491122829112349,0.026375980929532906,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU595,73.8,8.677787590790851e-4,0.002959224092833877,Ext,0.03222646331867325,2.5677549215582203,0.015759240617987495,2.771552994692401,OTU,Ext
Mortierella;OTU602,-173.35,8.677787591470014e-4,0.002959224092833877,Ext,2.6141212737843484,1.0679582428324754,0.887150604667845,0.3346753639178604,OTU,Ext
Mortierella;OTU604,-1001.6,8.677787588321058e-4,0.002959224092833877,Ext,0.12635155465230366,0.01389499973827859,0.07972432661923438,0.010839900209936271,OTU,Ext
Mortierella;OTU605,-62.8,0.017579278419530192,0.046394008698499245,Ext,0.13279159059312756,0.021353820403546414,0.09596615173406091,0.011349264905439855,OTU,Ext
Mortierella;OTU606,-186.1,8.677787588794733e-4,0.002959224092833877,Ext,0.7501623580057396,0.04834993460684925,0.5095635155332615,0.03820258567530873,OTU,Ext
Hypocreales_gen_Incertae_sedis;OTU608,-420.88,0.015078078256352849,0.04104212332558825,Ext,0.017878095788142218,0.0013232554200542008,0.014184548040797012,0.0026465108401084016,OTU,Ext
Ceratobasidium;OTU609,4434.91,8.677787589114585e-4,0.002959224092833877,Ext,7.938049613556476e-4,0.022481690552644956,0.001121059274664063,0.0066396216427675745,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU619,14593.47,8.677787590210824e-4,0.002959224092833877,Ext,0,0.012174533578183391,0,0.01039839918024777,OTU,Ext
Mucor;OTU625,-12419.42,8.677787685867074e-4,0.002959224092833877,Ext,0.16982113346717387,0.02358180326472711,0.25429054580874816,0.009658819027515702,OTU,Ext
Spizellomycetales_gen_Incertae_sedis;OTU634,-27248.6,8.677787592854128e-4,0.002959224092833877,Ext,0.009300566381929425,0,0.009114042855129494,0,OTU,Ext
Lobulomycetales_gen_Incertae_sedis;OTU652,238174.2,8.677787606371317e-4,0.002959224092833877,Ext,8.657196479999961e-4,0.003602582002827227,7.526574159728217e-4,0.002007391690002446,OTU,Ext
Trichoderma;OTU655,1812.25,8.677787588352505e-4,0.002959224092833877,Ext,0.004051918159694084,0.07088617208051366,0.005287114736506936,0.03487321211945903,OTU,Ext
Olpidiaceae_gen_Incertae_sedis;OTU656,1518.08,8.6777875894785e-4,0.002959224092833877,Ext,1.9927464030927423e-4,0.10849836196883335,3.9854928061854847e-4,0.07147115615745005,OTU,Ext
Rhizophlyctis;OTU661,18469.51,8.677787619362828e-4,0.002959224092833877,Ext,4.593181880816116e-4,0.039964550860305044,9.186363761632232e-4,0.06450946497086908,OTU,Ext
Pleosporales_gen_Incertae_sedis;OTU665,303.06,8.67778758812706e-4,0.002959224092833877,Ext,0.010834963743623619,0.233950955361584,0.003119257461784962,0.057976790638791215,OTU,Ext
Cyphellophora;OTU683,11080.48,8.67778758940573e-4,0.002959224092833877,Ext,2.296590940408058e-4,0.015660438506702873,4.593181880816116e-4,0.009356022569378253,OTU,Ext
Acremonium;OTU689,-270.56,8.677787589583119e-4,0.002959224092833877,Ext,0.6637208876072932,0.09977940892297923,0.5776872173561146,0.03458602634598094,OTU,Ext
Stachybotrys;OTU692,-17.96,8.677787588028106e-4,0.002959224092833877,Ext,4.858275820283579,1.1431759786343592,0.6159060391973258,0.12460055563388439,OTU,Ext
Albifimbria;OTU696,2983.33,8.677787588599199e-4,0.002959224092833877,Ext,0.0021920210434020165,0.04841706527244992,0.004384042086804033,0.028246703780352544,OTU,Ext
Paramyrothecium;OTU699,3095.02,0.013623172492105,0.03775920412689029,Ext,0,0.009596847583258988,0,0.008550753481778839,OTU,Ext
Paramicrothyrium;OTU703,1066.87,8.677787588728512e-4,0.002959224092833877,Ext,0.006822452266530865,0.15073528082020457,0.002153420074049751,0.06997386101554487,OTU,Ext
Stephanonectria;OTU711,332.83,0.004079646853965462,0.013834333186352153,Ext,0.006492413496766702,0.08151365052003448,0.00977933078038425,0.04258566508209285,OTU,Ext
Clonostachys;OTU715,-146.4,0.015345622074177093,0.04158389553136382,Ext,0.04955854206564497,0.0033935337198442196,0.03675544137068668,0.0034199671062492957,OTU,Ext
Ascomycota_gen_Incertae_sedis;OTU716,-87.73,8.677787588450998e-4,0.002959224092833877,Ext,1.01915387638337,0.15938916850029294,0.26921005795724084,0.046476539056842944,OTU,Ext
