"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0913454.09FU" 0 18 14 7 9 10 0 1 0 2 9 28 0 4 0 12
"SH0913462.09FU" 0 0 0 0 52 141 5 19 0 1 2 168 7 3 0 0
"SH0914436.09FU" 0 0 0 0 0 0 0 0 11 0 0 1 0 0 0 3
"SH0916138.09FU" 5 0 6 0 0 0 9 0 0 2 9 6 1 0 0 0
"SH0916176.09FU" 0 0 0 0 0 0 0 0 0 4 0 1 9 0 0 5
"SH0916178.09FU" 5 0 0 0 0 0 0 0 0 7 3 0 1 0 7 6
"SH0916181.09FU" 2 1 0 15 0 0 30 8 15 38 5 4 6 0 8 14
"SH0916223.09FU" 0 0 0 0 82 4 12 9 0 0 0 0 0 0 9 0
"SH0916807.09FU" 4 0 2 15 0 0 0 0 6 0 7 8 0 0 0 4
"SH0917704.09FU" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
"SH0918370.09FU" 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"SH0918734.09FU" 0 0 0 0 0 0 0 0 0 0 0 6 0 0 7 0
"SH0918839.09FU" 6 0 30 22 29 33 38 63 28 30 4 18 8 15 21 45
"SH0918853.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"SH0918892.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"SH0919208.09FU" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"SH0919365.09FU" 2 0 0 0 2 0 0 0 1 0 0 0 366 10 2 5
"SH0919378.09FU" 0 0 0 10 0 0 18 9 3 0 0 7 0 0 1 0
"SH0919451.09FU" 37 12 97 66 86 28 106 232 71 71 85 170 41 104 114 141
"SH0919473.09FU" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"SH0919906.09FU" 0 1 0 0 0 0 0 0 1 2 2 252 0 12 0 0
"SH0920609.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"SH0921791.09FU" 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
"SH0921848.09FU" 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"SH0921849.09FU" 6 15 30 8 902 1056 252 267 10 13 5 5 82 180 87 184
"SH0921851.09FU" 755 1009 678 958 219 267 383 304 286 626 501 386 149 370 270 165
"SH0921859.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"SH0921865.09FU" 33 102 46 45 590 299 2461 504 104 241 306 45 1325 824 506 531
"SH0921934.09FU" 159 163 232 153 40 82 81 56 89 82 69 80 56 58 65 48
"SH0921943.09FU" 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0
"SH0921945.09FU" 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 5
"SH0922241.09FU" 0 0 4 1 0 0 0 12 0 0 0 4 0 0 14 15
"SH0922248.09FU" 0 0 5 0 0 0 0 8 0 0 0 1 0 3 2 11
"SH0922260.09FU" 0 0 0 0 0 0 8 2 0 0 0 0 5 0 10 0
"SH0922281.09FU" 8 1 1 0 0 0 0 31 0 1 0 0 6 6 13 13
"SH0929080.09FU" 265 509 277 901 133 49 161 126 206 239 204 274 179 86 239 225
"SH0929225.09FU" 0 1 0 0 0 0 0 0 0 0 1 0 0 27 30 6
"SH0929427.09FU" 8 26 9 43 117 103 109 129 3 19 0 6 420 229 548 207
"SH0930229.09FU" 0 0 0 0 18 12 7 0 0 0 0 0 32 37 56 8
"SH0930434.09FU" 0 0 0 0 0 0 0 8 0 1 0 5 16 7 3 1
"SH0931315.09FU" 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"SH0932004.09FU" 53 75 0 54 3 0 0 1 856 6 14 1 3 0 0 0
"SH0932555.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"SH0932574.09FU" 0 0 5 0 0 0 0 2 3 0 28 0 0 0 9 0
"SH0932593.09FU" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
